IP,Date,Explanation,High Cluster,Mid Cluster,Low Cluster,Fine Cluster
117.241.107.188,1218,80+ (mostly) SYN packets from this IP. Scanning.,Scan,Client,TCP,
111.210.167.26,1218,"TCP scan from one host to many hosts 2 ports (445,1433), each time 2",Scan,Client,TCP,
108.177.97.97,1218,"108.177.97.97 is quite interesting, you can see the window size
increasing by 1 byte for each packet, classic TCP low rate",low-rate,Client,TCP,
108.177.97.97,1218,"source is victim, on port 5222 (XMPP), attacker sending many small
packets, advancing window 1 byte at a time, average dur is 867s (out of
900s). No SYN and FIN packets in 30 flows and 900s!",low-rate,Server,TCP,
107.146.182.240,1218,Only 60 packets. Scanning 1433 and 445 (Wannacry),Scan,Client,TCP,
104.214.163.179,1218,"Low Rate TCP, HTTPS server, too many short flows, ave_pkt=9.5, max_pkt=22, max_byte=6.4K, 27 flows",low-rate,Server,HTTP,
104.212.246.47,1218,It's a web server. Clearly repetitive small connections from a number of clients. Likely an attack.,low-rate,Server,TCP,
130.152.24.221,906,Around 5K DNS queries to the same server,Flood,Client,DNS,
203.145.119.13,906,SSh clients,Flood,Client,TCP,
162.2.172.48,906,Heavy Server,Heavy,Server,HTTP,
124.114.92.22,906,SSh clients,low-rate,Client,TCP,
203.145.123.64,906,HTTP server with heavy flows,Heavy,Server,HTTP,
199.19.222.250,906,HTTP server with heavy flows,Heavy,Server,HTTP,
45.116.98.84,906,"Scans to port 445, wannacry",Scan,Client,TCP,
122.122.100.65,906,7K DNS queries to the same server,Flood,Client,DNS,
45.116.98.86,906,"Scans to port 445, wannacry",Scan,Client,TCP,
203.145.126.181,906,P2p Tcp Traffic with heavy flows,Heavy,Peer,TCP,
85.143.2.215,906,"Scans to port 445, wannacry",Scan,Client,TCP,
81.150.105.122,906,"Scans to port 445, wannacry",Scan,Client,TCP,
124.115.65.231,906,Scans to port 1433,Scan,Client,TCP,
203.145.120.228,906,Scans to port 23404,Scan,Client,TCP,
179.160.110.54,906,Scans to port 1433,Scan,Client,TCP,
37.225.142.173,906,Scans to port 1433,Scan,Client,TCP,
163.221.165.55,906,Predominantly a heavy UDP flow,Heavy,Client,UDP,
78.138.112.179,906,Scans to many different ports,Scan,Client,MANY,
171.59.141.76,906,"Scans to port 445, wannacry",Scan,Client,TCP,
91.214.90.37,906,SYN scan,Scan,Client,TCP,
185.47.94.186,906,SYN scan,Scan,Client,TCP,
162.172.230.70,906,SYN scan,Scan,Client,TCP,
202.13.227.13,906,No. of unique (i) dst IPs = 1320 (ii) src ports = 1676 (iii) dst ports = 546,Flood,Client,MANY,
54.153.59.163,906,"Server being scanned/attacked with SYN packets. No. of unique (i) dst IPs = 5482 (ii) src ports = 1 (iii) dst ports = 5452. Top three dsts are 54.153.59.163, 203.145.105.201, 133.117.70.106",Scan,Server,TCP,
54.153.59.191,906,"Server being scanned/attacked with SYN packets. No. of unique (i) dst IPs = 5029 (ii) src ports = 1 (iii) dst ports = 4985. Top three dsts are 54.153.59.191, 150.20.149.163, 133.117.213.164",Scan,Server,TCP,
54.153.59.160,906,"Server being scanned/attacked with SYN packets. Top three dsts are 54.153.59.160, 150.20.1.112, 133.117.204.229",Scan,Server,TCP,
54.153.59.173,906,"Server being scanned/attacked with SYN packets. Top three dsts are 54.153.59.173, 133.117.58.50, 163.221.220.227",Scan,Server,TCP,
54.153.59.171,906,"Server being scanned/attacked with SYN packets. Top three dsts are 54.153.59.171, 150.20.126.27, 150.20.20.120",Scan,Server,TCP,
139.160.94.166,906,Scanning port 22.,Scan,Client,TCP,
192.95.7.180,906,SYN flooded. No. of unique (i) dst IPs = 4767 (ii) src ports = 1 (iii) dst ports = 4835,Scan,Server,TCP,
92.128.100.29,906,"SYN scans on 445 port, to dsts in network 133.181.x.x",Scan,Server,TCP,
163.221.229.144,906,"Heavy flow to one dst, uncommon port",Heavy,Client,TCP,
190.240.112.247,906,"SYN scans to mostly two networks, 203.145.x.x and 133.181.x.x. Dst port is 1433",Scan,Client,TCP,
119.60.86.148,906,"SYN scans to mostly two networks, 203.145.x.x and 133.181.x.x. Dst port is 1433",Scan,Client,TCP,
182.1.75.61,906,SYN scans to 133.181.x.x network. Dst port is 445,Scan,Client,TCP,
187.181.15.59,906,SYN scans to mostly two networks; one of them is 203.145.x.x. Dst port is 1433,Scan,Client,TCP,
163.221.18.31,906,Low rate TCP attack to 192.33.31.119 and 192.33.31.118. Dst port is  443,low-rate,Client,TCP,
89.226.240.42,906,"SYN scans to port 445, 2 SYN each to different destination ",Scan,Client,TCP,
162.218.111.56,906,Many (>5) SYN/RST pairs to port 80/443 ,low-rate,Client,TCP,
37.89.6.135,906,Many (>5) SYN/RST pairs to port 80/443 ,low-rate,Client,TCP,
88.6.191.6,906,"scan of port 1433, 2 SYN packets to each dest",Scan,Client,TCP,
133.164.251.125,906,Many short connections to different ports of a single dest,low-rate,Client,TCP,
31.131.94.59,906,"A few large flows, elephant 88%, max_byte 90MB, server port is 443",Heavy,server,TCP,
104.229.176.21,906,"9K SYN packets to port 23, a few SYN packets on each dest",Scan,Client,TCP,
36.237.101.21,906,"130+ UDP packets to port 53413, 2 UDP per dest",Scan,Client,UDP,
197.124.232.192,906,pair of SYN/RST to port 23 to different dests ,Scan,Client,TCP,
182.1.40.55,906,"scan of port 445, two SYN packets to each dest",Scan,Client,TCP,
59.186.75.233,906,scan of many ports and many dest,Scan,Client,Many,
94.3.235.216,906,"scan of port 1433, 2 SYN packets to each dest",Scan,Client,TCP,
74.253.96.81,906,"1 224MB flows, 84% elephant, server is https",Heavy,Server,HTTP,
171.108.92.205,906,"scan of port 1433, 2 SYN packets to each dest",Scan,Client,TCP,
133.164.225.207,906,scan of many UDP ports (3 pkts) on many destinations,Scan,Client,UDP,
74.253.96.106,906,"src is HTTP 443, max_byte 25MB, elephant 71%",Heavy,Server,HTTP,
173.58.221.173,906,"src is HTTP 443, max_byte 72MB, 60% elephant",Heavy,Server,HTTP,
122.226.247.50,906,62K SYN packets to different ports & destination,Scan,Client,TCP,
203.145.119.22,906,"Src is bitcoin server 8333, max_byte 83MB, total_byte 205MB, elephant 88%",Heavy,server,TCP,
113.108.105.217,902,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
108.148.0.41,901,port scan of many host on (mostly) telnet and (some) port# 2323,Scan,Client,TCP,scan-many-host-1-port
108.134.99.141,901,"XMPP client, interesting classic TCP low rate attack",low-rate,Client,TCP,xmpp-server-traffic
203.77.160.5,1107,Syn and Syn Ack packets from unknown ports to unknown ports,Scan,Peer,TCP,
202.253.9.138,1107,Web client with elephant flow,Heavy,Client,HTTP,
173.194.204.228,1107,Web Server with elephant flow,Heavy,Server,HTTP,
163.61.188.233,1107,Web client with elephant flow,Heavy,Client,HTTP,
60.54.151.25,1107,2K DNS queries,Flood,Client,DNS,
101.16.254.98,1107,"Web server with 1600 pkts/flow. Mostly small packets, Could be a bot",Flood,Client,TCP,
31.149.93.140,1107,Web Server with elephant flow,Heavy,Server,HTTP,
17.5.90.13,1107,Web server 4000 pkts/flow and elephant flows,Heavy,Server,HTTP,
117.17.21.230,1107,"Web server with 400 pkts/flow with bulk transfer, retransmissions, PSH",Flood,Server,HTTP,
74.250.150.105,1107,"Web UDP server with 1400 pkts/flow, bulk transfer",Flood,Server,UDP,
219.121.143.78,1107,"Web client with 700 pkts/flow but at low bit rate and high packet rate, small packets (66b). Suspicious",Flood,Client,HTTP,
177.119.26.6,1107,"UDP Client to port 623, IPMI, 20K requests over 200 seconds to many hosts. Could be a password gusessing",low-rate,Client,UDP,
45.164.47.254,1107,Web client at 450 pkts/flow but lots of packes 22K packets in a minute,Flood,Client,HTTP,
203.77.171.213,1107,Server on port 4001 with 50 pkts/flow from about 400 hosts. Could be a vulnerability,Flood,Server,TCP,
113.141.169.169,1006,"TCP SYN scan only, but targeting 203.162.0.0/16 as above",Scan,Client,TCP,
110.234.9.25,1006,"TCP SYN scan only, but targeting 203.162.0.0/16 as above",Scan,Client,TCP,
110.234.9.25,1006,"SYN scan - multiple dst hosts in different subnets (133.4.0.0/16, 203.162.0.0/16, 202.9.0.0/16, etc.), but same dport 1143",Scan,Client,TCP,
202.13.227.150,906,It's a client. Top dst ports are 182 and web ports. Total of 30 dst ports. Suspicious.,Flood,Client,TCP,
203.145.117.42,906,"UPD application. Each ""connection"" has same packet-size sequence",low-rate,Peer,UDP,
101.16.254.98,1107,"Web client traffic from a single client using several ports, suspicious thing is that its all 54 byte packets. Could be a bot",low-rate,Client,HTTP,
58.198.74.57,1107,Web server getting a lots of small packets from a single client over serveral ports,low-rate,Server,HTTP,
133.98.171.67,1107,Syn and FIN pckets to several web servers,Scan,Client,HTTP,
203.77.175.92,1107,"A server talking to clients over port 4001, Seem suspicious because of one packet flows.",low-rate,Server,HTTP,
139.95.144.63,1107,SYN attack on port 22,Scan,Client,HTTP,
163.92.223.229,1107,UDP traffic on non-reserved ports,low-rate,Client,UDP,
163.61.147.60,1107,"TCP and UDP on the same port 30303, and the traffic seems to be in the same pattern. ",low-rate,Peer,UDP,
104.8.66.5,901,scan of telnet port on many host,Scan,Client,TCP,scan-many-host-1-port
104.7.135.238,901,Many DNS queries (23K) to 2 DNS servers at 14 pkts/flow,low-rate,Client,DNS,dns-client-traffic-heavy
101.237.88.149,901,scanning of the ms-sql port over many hosts (4-5 SYN packets per host),Scan,Client,TCP,scan-many-host-1-port
110.138.85.233,902,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
108.83.190.182,902,multiple pairs of telnet syn packet to many dest,Scan,Client,TCP,scan-many-host-1-port
104.39.18.127,902,,low-rate,server,TCP,
104.255.191.228,902,Client trying to access telnet port of several address,Scan,Client,TCP,telnet-scan
104.255.177.170,902,SYN scans to port 23,Scan,Client,TCP,
